Num,Pub_date,Type_actor,Political_actor,Document,Condensed_function,actor,theme,quote,year,time_bin
11,2001-05-31,Federal Agency,Chris Servheen the U.S. Fish and Wildlife Service grizzly bear recovery coordinator,Bear Necessities / The grizzlies of Yellowstone have made a comeback but now there is debate about what they need to continue. SEE SIDEBAR: How to Keep Peace Between Man Beast: [ALL EDITIONS],Executive,Executive,Recovery_goals,Servheen the national grizzly bear recovery coordinator said the Yellowstone-area bears are doing well and increasing in population at 3 or 4 percent a year ... we are not exceeding our mortality limits for either females or the population as a whole.,2001,Before
11,2001-05-31,Federal Agency,Chris Servheen the U.S. Fish and Wildlife Service grizzly bear recovery coordinator,Bear Necessities / The grizzlies of Yellowstone have made a comeback but now there is debate about what they need to continue. SEE SIDEBAR: How to Keep Peace Between Man Beast: [ALL EDITIONS],Executive,Executive,Human_wildlife_conflict,Servheen said there were 19 human- caused bear deaths in and around the Yellowstone area last year 14 of them due to hunters. It is illegal to hunt grizzlies but the bears are killed by hunters who mistake them for black bears or who claim self-defense.,2001,Before
15,2016-05-16,Federal Agency,Chris Servheen the U.S. Fish and Wildlife Service grizzly bear recovery coordinator since 1981,Grizzly Face-Off,Executive,Executive,State_of_science,The objective of the Endangered Species Act is to get a species to the point where protection is no longer required says Servheen who announced his retirement at the end of April. Its not like the Wilderness Act where places must forever remain listed after theyve been designated. The ESA needs success stories to strengthen the law and the Yellowstone grizzly bear recovery is the greatest success story of all.,2016,After I
15,2016-05-16,Federal Agency,Chris Servheen the U.S. Fish and Wildlife Service grizzly bear recovery coordinator since 1981,Grizzly Face-Off,Executive,Executive,Recovery_goals,We have three times as many bears occupying more than twice the range we did when we started says Servheen. Thats in spite of the fact that grizzly bears or Ursus arctos horribilis are the second slowest-reproducing land animal in North America just behind the musk ox taking two or three years to rear a single litter of cubs. And unlike most other listed species they sometimes kill human beings. Since 1872 grizzlies have killed eight people in Yellowstone National Park. And yet weve done it Servheen says. Thats a good story.,2016,After I
17,2017-06-30,Federal Agency,U.S. Fish and Wildlife Service,Endangered and Threatened Wildlife and Plants; Removing the Greater Yellowstone Ecosystem Population of Grizzly Bears From the Federal List of Endangered and Threatened Wildlife,Executive,Executive,Law_detailed,This action is authorized by the Act. We are amending 50 CFR 17.11(h) by revising the listing for Bear grizzly under Mammals in the List of Endangered and Threatened Wildlife to remove the GYE grizzly bear DPS. Qoute from article,2017,During II
17,2017-06-30,Federal Agency,U.S. Fish and Wildlife Service,Endangered and Threatened Wildlife and Plants; Removing the Greater Yellowstone Ecosystem Population of Grizzly Bears From the Federal List of Endangered and Threatened Wildlife,Executive,Executive,Recovery_goals,On March 11 2016 we proposed to designate the GYE population of grizzly bears as a DPS and to remove (delist) this DPS from the Federal List of Endangered and Threatened Wildlife (81 FR 13174). Qoute from article,2017,During II
22,2016-09-27,Federal Agency,U.S. Fish and Wildlife Service,Interior Issues Proposed Rule for Removing Greater Yellowstone Ecosystem Population of Grizzly Bears From Federal List of Endangered Threatened Wildlife,Executive,Executive,Law_detailed,Revise the List of Endangered and Threatened Wildlife in title 50 of the Code of Federal Regulations at 50 CFR 17.11(h) under the authority of the Endangered Species Act of 1973 as amended (16 U.S.C. 1531 et seq.) by removing the GreaterYellowstone Ecosystem (GYE) population of grizzly bears (Ursus arctos horribilis) (81 FR 13174),2016,After I
22,2016-09-27,Federal Agency,U.S. Fish and Wildlife Service,Interior Issues Proposed Rule for Removing Greater Yellowstone Ecosystem Population of Grizzly Bears From Federal List of Endangered Threatened Wildlife,Executive,Executive,State_of_science,Our preliminary assessment is that these documents are consistent with the letter or intent of the regulatory requirements regarding human-caused mortality that we outlined in the proposed rule. Thus based on our review we believe the regulatory framework in Montana Wyoming and Idaho in combination with the Tri-State MOA will maintain a recovered population of grizzly bears in the GYE.,2016,After I
23,2018-09-25,Federal Agency,U.S. Fish and Wildlife Service,Grizzly ruling entangles Montana bears outside of Yellowstone,Executive,Executive,State_of_science,We stand behind our scientific finding that the Greater Yellowstone Ecosystem grizzly bear is biologically recovered and no longer requires protection under the Endangered Species Act the FWS statement read. Our determination was based on our rigorous interpretation of the law and is supported by the best available science and a comprehensive conservation strategy developed with our federal state and tribal partners. In light of the court’s ruling management of grizzly bears returns to the federal government and we will work with the states and tribes to ensure that this transition proceeds in accordance with the court’s order. The Service will examine this ruling to determine its likely impact on the future of this recovered iconic species.,2018,During II
26,1997-01-13,Federal Agency,Interagency Grizzly Bear Committee,Grizzly Bear Comeback Prompts Growls of Protest,Executive,Executive,State_of_science,Proclaiming the highest count of bear cubs in the Yellowstone ecosystem in decades members of the Interagency Grizzly Bear Committee say they have moved a step closer toward removing the ambling carnivores from the list of federal protection,1997,Before
